Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
A1,баня,Бани и сауны,"улица Саргуль, 7",,,Энергетик ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,34,87479775664,,,,,,,,,,https://wa.me/77479775664,,,,,51.146412,71.45206,https://2gis.com/firm/70000001098532244
Royal Par,,Бани и сауны; Аренда коттеджей,"улица Балкантау, 124/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,237,87019766646,,,,,http://relaxhouse.2gis.biz,,,https://instagram.com/royalpar_banya,,https://wa.me/77019766646,,,,,51.136309,71.472562,https://2gis.com/firm/70000001064652848
Кедровый Рай,,Бани и сауны,"улица Кумкент, 20",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,325,87788082728,87788082827,,kedr.ray1@gmail.com,,http://kedroviyrai.2gis.biz,,,https://instagram.com/kedr.ray1,,https://wa.me/77788082728,https://wa.me/77788082827,,,,51.137627,71.510849,https://2gis.com/firm/70000001029876443
ФАЗЕНДА,комплекс саун,Бани и сауны; SPA-процедуры; Аренда коттеджей; Массажист,"улица 150 лет Абая, 10",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,2128,87005936444,,,,,http://70000001018100760.2gis.biz/,,,https://instagram.com/banya.fazenda,,https://wa.me/77005936444,,,,,51.183742,71.356264,https://2gis.com/firm/70000001018100761
Bavaria,,Бани и сауны; Аренда коттеджей; SPA-процедуры; Массажист,"улица Балкантау, 147",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,122,87750325050,,,,,,,,,,https://wa.me/77750325050,,,,,51.131392,71.483722,https://2gis.com/firm/70000001033210307
Эдельвейс,банный комплекс,Бани и сауны; Аренда коттеджей,"улица Е 565, 5",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,229,87017480606,,,,,http://edelweiss-astana.kz,,,https://instagram.com/edelweiss_banya,,https://wa.me/77017480606,,,,,51.091795,71.474246,https://2gis.com/firm/70000001038698704
Люкс,общественная и семейная баня,Бани и сауны; Тонизирующие салоны; SPA-процедуры,"улица Республики, 156",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,"Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (касса: пн-чт 11:00-21:00, пт-вс 10:00-23:00)",+05:00,4.8,2021,87085157777 (контакт-центр),,,,,,,,https://instagram.com/luxe_kosshi,,https://wa.me/77079314132,,,,,50.963226,71.350051,https://2gis.com/firm/70000001024134690
Люкс,общественная баня,Бани и сауны; Тонизирующие салоны; Массажист; SPA-процедуры,"улица Караменде би Шакаулы, 16",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (касса: пн-чт 11:00-21:00, пт-вс 10:00-23:00)",+05:00,4.7,3110,87085157778 (контакт-центр),,,,,,,,https://instagram.com/lux_complex,,https://wa.me/77079314132,,,,,51.173996,71.36986,https://2gis.com/firm/70000001036419074
Николаевские бани,,Бани и сауны,"улица Илияс Омаров, 8/1","2, 3 этаж",,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.5,1216,87058884726,,,,,,,,https://instagram.com/nikolaevskie_bani_astana,,https://wa.me/77058884726,,,,,51.137106,71.372178,https://2gis.com/firm/70000001081871740
Сауна на Абая,,Бани и сауны,"проспект Абая, 91",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,148,87763999977,87057715567,,,,,,,https://instagram.com/sauna_abaya_91,,https://wa.me/77057715567,https://wa.me/77763999977,,,,51.167896,71.45851,https://2gis.com/firm/70000001067264810
Janaru,банно-оздоровительный комплекс,Бани и сауны,"улица Караоткель, 58",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00 (санитарный день: пн),+05:00,4.8,789,87073335858,,,,,,,,https://instagram.com/banya_janaru,,https://wa.me/77073335858,,,,,51.138438,71.427035,https://2gis.com/firm/70000001083545229
Lavarium,банный комплекс,Бани и сауны; SPA-процедуры; Массажист,"Бухар жырау улица, 25а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.5,517,87010705870,,,,,,,,https://instagram.com/lavarium,,https://wa.me/77010705870,,,,,51.099507,71.436334,https://2gis.com/firm/70000001094243631
Алконыр,баня,Бани и сауны,"переулок Алконыр, 1",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,263,87787376335,87076111356,,orka_@mail.ru,,http://kuula.co/share/collection/7FhSC?logo=-1&info=1&fs=1&vr=1&zoom=1&gyro=0&initload=0&thumbs=0&inst=ru,,,https://instagram.com/sauna_astana_alkonyr,https://facebook.com/saunaalkonyr,https://wa.me/77787376335,,,,,51.125006,71.512563,https://2gis.com/firm/70000001018084523
Усадьба,сауна,Бани и сауны,"улица Габидена Мустафина, 44",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,98,87764905050,,,,,,,,,,https://wa.me/77764905050,,,,,51.153736,71.510687,https://2gis.com/firm/70000001064248040
Thai Dream,сауна,Бани и сауны,"улица Желтоксан, 22/3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,205,87018801211,87715553267,,aiguldogambekova@gmail.com,,,,,https://instagram.com/sauna_thai_dream,,https://wa.me/77018801211,https://wa.me/77715553267,,,,51.172099,71.416968,https://2gis.com/firm/70000001037109922
Уют,гостинично-банный комплекс,Бани и сауны; Гостиницы,"улица Балкантау, 50",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,4.3,137,87029157945 (гостиница),87028163518 (гостиница),87753228186 (баня),,,,,,https://instagram.com/uyut_hotel_sauna,,https://wa.me/77029157945,,,,,51.135552,71.500088,https://2gis.com/firm/70000001035960331
Reyka,банно-оздоровительный комплекс,Бани и сауны; Массажист; SPA-процедуры; Косметолог,"улица Илияс Омаров, 6/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.7,1436,87777215202,,,,,,,,https://instagram.com/reyka.2021,https://facebook.com/101949651860238,https://wa.me/77777215202,,,,,51.135755,71.371772,https://2gis.com/firm/70000001046594509
Нур,гостиничный комплекс,Бани и сауны; Гостиницы,"проспект Нургиса Тлендиева, 3/3",1-3 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,78,87089001607 (гостиница),87172289555 (гостиница),87172289444 (сауна),info@hotel-astana.kz,,,,,,,https://wa.me/77089001607,,,,,51.180447,71.374089,https://2gis.com/firm/70000001018088545
Ханшайым,,Бани и сауны; Банкетные залы,"улица Борили, 52",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,4,87717007075,,,,,,,,https://instagram.com/gostinica_hanshaiym,,,,,,,51.142294,71.491669,https://2gis.com/firm/70000001101919255
Ай-Са,гостиничный комплекс,Бани и сауны; Гостиницы,"улица Ануара Алимжанова, 54",2-3 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,93,87010700834 (сауна),87172210707 (сауна),87010703408 (гостиница ),aktan0304@mail.ru,,,,,https://instagram.com/gostinitsa.sauna_aisa,,https://wa.me/77010700834,,,,,51.17505,71.447076,https://2gis.com/firm/70000001018113935
Жар и Пар,семейная баня,Бани и сауны,"улица Конституции, 17а",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,451,87477021181,,,,,,,,https://instagram.com/zharipar_astana,,https://wa.me/77477021181,,,,,51.195434,71.393628,https://2gis.com/firm/70000001080955486
РАХАТ ЛЮКС,сауна,Бани и сауны,"улица Жайык, 17/1",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,62,87072483195,,,gukamar22@gmail.com,,,,,,,https://wa.me/77072483195,,,,,51.147651,71.516384,https://2gis.com/firm/70000001018111746
Shubar Spa House,баня,Бани и сауны,"улица Сейиткали Мендешев, 49",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.9,164,87081829266,,,,,,,,https://instagram.com/shubar.spa.house,,https://wa.me/77081829266,,,,,51.138077,71.419353,https://2gis.com/firm/70000001083234181
propar.astana,,Бани и сауны,"улица Балкантау, 116",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,6,87077441882,,,,,,,,https://instagram.com/propar.astana,,https://wa.me/77077441882,,,,,51.133846,71.474352,https://2gis.com/firm/70000001104874514
