Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
GQ,барбершоп,Барбершопы; Тату-салоны,"Кабанбай батыр проспект, 60/19",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,248,87022142024,,,,http://n1220893.alteg.io/,,https://instagram.com/barbershop_gq_astana,,,https://wa.me/77022142024,,,,,,51.090374,71.408137,https://2gis.com/firm/70000001083324175
Storm,барбершоп,Барбершопы,"проспект Туран, 34а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,377,87007927545,,,,,,https://instagram.com/storm.barbershop.kz,,,https://wa.me/77007927545,,,,,,51.121333,71.405163,https://2gis.com/firm/70000001092742195
TM Barbershop,,Барбершопы; Студии загара; Ногтевые студии,"проспект Мангилик Ел, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,1118,87773163333,,,,http://tmbarbershopastana.taplink.ws,,https://instagram.com/tmbarbershop_astana,,,https://wa.me/77773163333,,,,,,51.111822,71.433726,https://2gis.com/firm/70000001037001484
OldBoy,барбершоп,Барбершопы,"улица Амман, 2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,408,87000203670,87172203670,,oldboy.astana@gmail.com,http://oldboybarbershop.com/astana/milanskiy,,https://instagram.com/oldboy_astana,,,https://wa.me/77000203670,,,,,,51.141857,71.446036,https://2gis.com/firm/70000001026875756
13,,Барбершопы; Тату-салоны; Эпиляция,"проспект Туран, 22",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,443,87018741313,,,13.barbershop.astana@mail.ru,http://13barbershop.taplink.ws/,,https://instagram.com/13barbershop.astana,,,https://wa.me/77018741313,,,,,,51.140523,71.410629,https://2gis.com/firm/70000001034711012
Caesar`s,барбершоп,Барбершопы,"улица Кайым Мухамедханов, 4/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,225,87757176546,,,,http://zapis.kz/salon/12311,,https://instagram.com/barbershop_thecaesars,,,https://wa.me/77757176546,,,,,,51.135543,71.402658,https://2gis.com/firm/70000001100038603
Talmur Barbershop,,Барбершопы,"улица Кайым Мухамедханов, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,536,87084254499,,,,http://zapis.kz/salon/talmur-4811,http://zapis.kz/salon/talmur-4811?redirect=true,https://instagram.com/barbershop_talmur,,,https://wa.me/77084254499,,,,,,51.140416,71.382265,https://2gis.com/firm/70000001056388655
016,барбершоп,Барбершопы,"улица Кенесары, 69",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,5.0,97,87774080400,,,,,,https://instagram.com/016.barbershop,,,https://wa.me/77774080400,,,,,,51.168643,71.446884,https://2gis.com/firm/70000001087443439
Central,барбершоп,Барбершопы,"улица Сарайшык, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,1108,87718132022,87719091709,,rysbek.02@icloud.com,,,https://instagram.com/central.astana,,,https://wa.me/77718132022,https://wa.me/77719091709,,,,,51.133787,71.429172,https://2gis.com/firm/70000001086784086
ARA Barbershop,,Барбершопы,"улица Санжара Асфендиярова, 5",НП: 12,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,412,87084256627,87172256627,,,,,https://instagram.com/ara_barbershop_astana,,,https://wa.me/77084256627,,,,,,51.133197,71.381158,https://2gis.com/firm/70000001065229746
Undercut,,Барбершопы,"проспект Туран, 43/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,373,87083037070,,,,http://n1323701.alteg.io/company/1265960/personal/menu?o=,,https://instagram.com/undercut.kz,,,https://wa.me/77083037070,,,,,,51.124747,71.400479,https://2gis.com/firm/70000001093664469
The One,,Барбершопы,"улица Е-489, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,343,87474643711 (администратор),,,,http://n818908.alteg.io/,,https://instagram.com/theone_ast,,,https://wa.me/77474643711,,,,,,51.144318,71.378324,https://2gis.com/firm/70000001079854615
The Shelby,,Барбершопы,"улица Толе би, 59",3 офис,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,699,87055559773,,,,http://n798451.alteg.io,,https://instagram.com/ts__barbershop,https://facebook.com/n798451.alteg.io,,https://wa.me/77055559773,,,,,,51.132634,71.39695,https://2gis.com/firm/70000001068515629
Trim,барбершоп,Барбершопы,"проспект Тауелсиздик, 43",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,46,87761551337,87016516556 (администратор),,,http://zapis.kz/trim-barbershop,,https://instagram.com/trim_barbershop_astana,,,https://wa.me/77016516556,,,,,,51.133848,71.466682,https://2gis.com/firm/70000001104039126
Prime Barbershop,,Барбершопы,"проспект Мангилик Ел, 47п",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.9,280,87770276248,,,,http://dikidi.app/1822650,,https://instagram.com/prime.barbershop.01,,,https://wa.me/77770276248,,,,,,51.098463,71.426668,https://2gis.com/firm/70000001082701897
MasterСut,,Барбершопы,"улица Кенжебек Кумисбеков, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,434,87018507761,,,mastercutsme@gmail.com,http://mastercuts.me,,https://instagram.com/mastercuts.me,,,https://wa.me/77018507761,,,,,,51.163279,71.400864,https://2gis.com/firm/70000001064074061
Notting Hill,барбершоп,Барбершопы,"Керей, Жанибек хандар улица, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,74,87775655544,,,,,,https://instagram.com/nottinghillbarbershop,,,https://wa.me/77775655544,,,,,,51.107263,71.447252,https://2gis.com/firm/70000001098166041
NewMan,,Барбершопы,"улица Абикен Бектуров, 17",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,77,87754426687,,,,http://n1333839.alteg.io/company/1274513/personal/menu,,https://instagram.com/newman_barbershop_astana,,,https://wa.me/77754426687,,,,,,51.119654,71.396886,https://2gis.com/firm/70000001096193968
Gents,мужской салон,Барбершопы; Обучение мастеров для салонов красоты,"проспект Сарыарка, 24",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,543,87770081111,,,gents1111@gmail.com,http://zapis.kz/gents,,https://instagram.com/gents__astana,,,https://wa.me/77770081111,,,,https://t.me/gents_astana,,51.167356,71.408877,https://2gis.com/firm/70000001023790767
Triumph Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"Аль-Фараби проспект, 17",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,600,87760008144,,,,,,https://instagram.com/triumph_barbershop_,,,https://wa.me/77760008144,,,,https://t.me/+77760008144,,51.094026,71.449492,https://2gis.com/firm/70000001077459169
Berloga,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Туркестан, 16/5",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,581,87716939039,,,berloga.nursultan@gmail.com,,,https://instagram.com/berloga.astana,,,https://wa.me/77716939039,,,,,,51.105619,71.425861,https://2gis.com/firm/70000001046667344
Custom,,Барбершопы,"улица Алихан Бокейхан, 10",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,667,87072994444,,,,http://n488318.alteg.io/,,https://instagram.com/custom_barbershop,,,https://wa.me/77072994444,,,,https://t.me/custombarbershop,,51.113943,71.438938,https://2gis.com/firm/70000001049488571
Style man,,Барбершопы,"проспект Бауыржан Момышулы, 15а",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.9,93,87086346269,,,,,,,,,https://wa.me/77086346269,,,,,,51.138631,71.471929,https://2gis.com/firm/70000001060716986
Valhalla,барбершоп,Барбершопы,"проспект Тауелсиздик, 47а",НП: 1,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,98,87081473415,,,,http://n1366781.alteg.io/,,https://instagram.com/barbershop_valhalla_ast,,,https://wa.me/77081473415,,,,,,51.132681,71.466589,https://2gis.com/firm/70000001101476785
Culture,барбершоп,Барбершопы,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,445,87076168552,,,,http://n558012.alteg.io,,https://instagram.com/culture_barbershop_kz,,,https://wa.me/77076168552,,,,,,51.161665,71.400673,https://2gis.com/firm/70000001075350807
Saqal коке,,Барбершопы; Обучение мастеров для салонов красоты,"улица Жошы хан, 1/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,118,87073023023,87770232303,,saqal.koke@gmail.com,,,https://instagram.com/saqal.koke,,,https://wa.me/77073023023,,,,,,51.095745,71.43503,https://2gis.com/firm/70000001100455515
Raid,барбершоп,Барбершопы,"проспект Ракымжан Кошкарбаев, 54а",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,179,87777545401,,,,,,https://instagram.com/raid.barbershop,,,https://wa.me/77777545401,,,,,,51.129097,71.499521,https://2gis.com/firm/70000001090219668
NewYork,,Барбершопы,"проспект Ракымжан Кошкарбаев, 34",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,152,87781899337,,,,,,,,,https://wa.me/77781899337,,,,,,51.1249,71.484812,https://2gis.com/firm/70000001095528410
Bugay,,Барбершопы,"проспект Ракымжан Кошкарбаев, 32/3 блок И",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.8,16,87771032315,87055696150,,,,,,,,https://wa.me/77771032315,https://wa.me/77055696150,,,,,51.124625,71.481851,https://2gis.com/firm/70000001104883745
Sage barbershop,,Барбершопы,"улица Шамши Калдаяков, 6",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,75,87017344600,,,,,,https://instagram.com/kimax_barber_sage,,,https://wa.me/77017344600,,,,,,51.118058,71.458946,https://2gis.com/firm/70000001094135387
Brabús,барбершоп,Барбершопы,"улица Алихан Бокейхан, 27/2",НП: 3,,,Есиль район,Астана,,Астана,Казахстан,Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,50,87783401211,87758074824,,,http://zapis.kz/mens-station,,https://instagram.com/brabus.barbershop01,,,https://wa.me/77783401211,,,,,,51.08468,71.431201,https://2gis.com/firm/70000001083498136
Бравый,барбершоп,Барбершопы,"проспект Туран, 46/2",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,1155,87759883377,,,,http://n268548.alteg.io/,,https://instagram.com/bravyi_astana,,,https://wa.me/77759883377,,,,,,51.112628,71.40169,https://2gis.com/firm/70000001036079848
Royal Men,,Барбершопы,"проспект Улы Дала, 58",НП: 7,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,24,87008691010,,,,,,,,,https://wa.me/77008691010,,,,,,51.096949,71.412239,https://2gis.com/firm/70000001103703986
SIN CITY,барбершоп,Барбершопы,"улица Алексея Петрова, 20",,,2а м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,416,87717776020,,,sin.city.astana01@gmail.com,http://barbershop-sin-city.business.site/?_target?m=true,http://zapis.kz/sin-city,https://instagram.com/sin_city_astana,,,https://wa.me/77717776020,,,,,,51.14879,71.468904,https://2gis.com/firm/70000001032545401
EL Clasico,барбершоп,Барбершопы,"улица Кенесары, 47а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,136,87081257351,87713851750,,,,,https://instagram.com/el.clasico.astana,,,https://wa.me/77081148054,,,,,,51.166609,71.430152,https://2gis.com/firm/70000001062594885
Urban,барбершоп,Барбершопы,"улица Розы Баглановой, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:15; Вт: 10:00-21:15; Ср: 10:00-21:15; Чт: 10:00-21:15; Пт: 10:00-21:15; Сб: 10:00-21:15; Вс: 10:00-21:15,+05:00,4.8,953,87056029562,,,,http://n734206.alteg.io/company/691938/personal/menu?o=m-1,,https://instagram.com/urban_sezimqala,,,https://wa.me/77056029562,,,,,,51.116305,71.394979,https://2gis.com/firm/70000001059240442
Crystal,барбершоп,Барбершопы,"проспект Республики, 6",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,237,87056771762,,,,http://zapis.kz/crystal,,https://instagram.com/barbershop_crystal,,,https://wa.me/77056771762,,,,,,51.158419,71.430035,https://2gis.com/firm/70000001079850954
Old school,,Барбершопы,"Кабанбай батыр проспект, 49а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,446,87054839513,,,,http://n961821.alteg.io/company/568593/personal/select-services?o=,,https://instagram.com/oldschool.barbershop.astana,,,https://wa.me/77054839513,,,,,,51.100893,71.405494,https://2gis.com/firm/70000001057066156
Denchik_barber,,Барбершопы,"улица Кенесары, 4",2 этаж; слева от Империя меха,,,Сарыарка район,Астана,,Астана,Казахстан,Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,84,87764132613,,,denis550i@yandex.ru,http://widget.easyweek.io/staromodnyy/team/62199/56566,,https://instagram.com/denchik_barber,,,https://wa.me/77764132613,,,,https://t.me/+77764132613,,51.161646,71.400522,https://2gis.com/firm/70000001082988952
Nineteen,барбершоп,Барбершопы,"улица Каныш Сатпаев, 19/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,69,87084862937,,,,http://n1166172.alteg.io,,https://instagram.com/nineteen__astana,,,https://wa.me/77084862937,,,,,,51.143305,71.472399,https://2gis.com/firm/70000001104301828
Office 6,барбершоп,Барбершопы,"улица Алихан Бокейхан, 42",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,179,87020946866,,,,,,https://instagram.com/office6bs,,,https://wa.me/77020946866,,,,,,51.088789,71.427336,https://2gis.com/firm/70000001076138668
Barbershop_sezar,,Барбершопы,"Мирный переулок, 4а",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,128,87470305468,,,,,,https://instagram.com/sezar_barbershop,,,https://wa.me/77470305468,,,,,,51.16027,71.461365,https://2gis.com/firm/70000001092774000
