Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,YouTube,Широта,Долгота,2GIS URL
Aykun,СПА-салон,SPA-процедуры; Массажист; Бани и сауны,"Керей, Жанибек хандар улица, 12Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,76,87015478277 (администратор: пн-вс 10:00-23:00),,,,,http://aykunspa.tilda.ws,,https://instagram.com/spa_aykun,,,https://wa.me/77751211152,https://wa.me/77015478277,,,,51.115027,71.41559,https://2gis.com/firm/70000001067535800
⁠Aura Prive,,SPA-процедуры; Массажист,"улица Шамши Калдаяков, 3",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.6,32,87759158526,,,,,,,https://instagram.com/auraprive_spa_kz,,,https://wa.me/77759158526,,,,,51.118868,71.458778,https://2gis.com/firm/70000001103368332
Euphoria,SPA-салон,SPA-процедуры; Массажист,"переулок Акжелен, 5/1",,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,28,87020945517,,,,,,,,,,https://wa.me/77020945517,,,,,51.147592,71.409368,https://2gis.com/firm/70000001076544075
Canna,международная академия духовного развития и здоровья,SPA-процедуры; Психотерапевт; Массажист; Соляные комнаты,"улица Сыганак, 32",ВП: 26,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,74,87789078656,,,,,,,https://instagram.com/canna.academy,,,https://wa.me/77789078656,,,,,51.12781,71.393391,https://2gis.com/firm/70000001089430255
Mali,женский оздоровительный центр,SPA-процедуры; Массажист,"улица Абикен Бектуров, 4/1",НП: 12,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,53,87717770780,,,mali.spa97@gmail.com,,,,https://instagram.com/mali.spa.ast,,,https://wa.me/77717770780,,,,,51.121923,71.400159,https://2gis.com/firm/70000001096235104
Serenity wellness and spa,,SPA-процедуры; Массажист,"Кабанбай батыр проспект, 13",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.8,77,87018001826,87018004836,,,,,,https://instagram.com/serenityspa.kz,,,https://wa.me/77018001826,,,,,51.138287,71.415224,https://2gis.com/firm/70000001097454474
Mbs Boutique SPA,,SPA-процедуры; Массажист,"улица Туркестан, 16",А2.010 офис; 2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,212,87777770780,,,mbsboutiquespa@gmail.com,,http://mbsboutiquespa.kz,,https://instagram.com/mbs_boutique_spa,,,https://wa.me/77777770780,,,https://t.me/+77777770780,,51.106987,71.424897,https://2gis.com/firm/70000001065605020
Naomi,СПА-салон,SPA-процедуры; Массажист; Бани и сауны,"улица Азербайжана Мамбетова, 4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (по предварительной записи),+05:00,4.8,120,87751230380,,,,,,,https://instagram.com/spa_naomi_astana,,,,,,https://t.me/77751230380,,51.159313,71.42672,https://2gis.com/firm/70000001038688278
Thai SPA Mirotel,SPA-салон,SPA-процедуры; Массажист,"переулок Аркат, 1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,99,87765240101,87472015710,,,,,,https://instagram.com/thaispa_mirotel,,,https://wa.me/77765240101,https://wa.me/77472015710,,,,51.132375,71.465896,https://2gis.com/firm/70000001092838404
ФАЗЕНДА,комплекс саун,SPA-процедуры; Бани и сауны; Аренда коттеджей; Массажист,"улица 150 лет Абая, 10",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,2128,87005936444,,,,,http://70000001018100760.2gis.biz/,,https://instagram.com/banya.fazenda,,,https://wa.me/77005936444,,,,,51.183742,71.356264,https://2gis.com/firm/70000001018100761
Люкс,общественная и семейная баня,SPA-процедуры; Бани и сауны; Тонизирующие салоны,"улица Республики, 156",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,"Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (касса: пн-чт 11:00-21:00, пт-вс 10:00-23:00)",+05:00,4.8,2021,87085157777 (контакт-центр),,,,,,,https://instagram.com/luxe_kosshi,,,https://wa.me/77079314132,,,,,50.963226,71.350051,https://2gis.com/firm/70000001024134690
7 Бояу,салон тайского массажа и СПА,SPA-процедуры; Массажист,"улица Желтоксан, 24",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.7,148,87000898959,87017133688,,astana-7kpacok@hotmail.com,astana7spa@gmail.com,,,https://instagram.com/7boyau,,,https://wa.me/77000898959,https://wa.me/77017133688,,,,51.172189,71.415206,https://2gis.com/firm/70000001018113127
ХОТТАБЫЧ,сауна на березовых дровах,SPA-процедуры; Бани и сауны; Массажист,"улица Сырымбет, 25",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1862,87084250203,,,htbch@inbox.ru,,http://hottabych.kz,,https://instagram.com/hottabych_banya,https://facebook.com/hottabych.banya,,https://wa.me/77084250203,,,,,51.137175,71.487492,https://2gis.com/firm/70000001034680417
ТЕРЕМОК,комплекс саун на дровах,SPA-процедуры; Аренда коттеджей; Бани и сауны; Массажист,"улица Зеренды, 2/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1500,87018054464,87172538082,,,,,,https://instagram.com/teremok.astana,,,https://wa.me/77018054464,,,,,51.13432,71.483131,https://2gis.com/firm/70000001018096415
Life Fitness Astana,фитнес-клуб,SPA-процедуры; Фитнес-клубы; Центры йоги; Тренажёрные залы; Спортивные секции,"улица Туркестан, 2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-23:45; Вт: 07:00-23:45; Ср: 07:00-23:45; Чт: 07:00-23:45; Пт: 07:00-23:45; Сб: 09:00-23:45; Вс: 09:00-23:45,+05:00,4.5,1203,87172797373 (отдел продаж ),87172797393,87019531465 (отдел продаж ),admin@life-fitness-astana.kz,,,,https://instagram.com/lifefitnessastana,https://facebook.com/LifeFitAstana,,https://wa.me/77019531465,https://wa.me/77074440364,,,,51.119977,71.429493,https://2gis.com/firm/70000001018069607
Тонус,,SPA-процедуры; Массажист,"проспект Тауелсиздик, 1/1",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (по предварительной записи),+05:00,4.5,84,87471045824,,,,,,,https://instagram.com/spasalon_tonus,,,https://wa.me/77471045824,,,,,51.152226,71.451159,https://2gis.com/firm/70000001057351145
AMARI Health&Spa,,SPA-процедуры; Массажист; Бани и сауны,"улица Айша биби, 38",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,440,87714370023,,,info@aisha-bibi.com,,http://amarispa.taplink.ws,,https://instagram.com/amari_health_and_spa,,,https://wa.me/77714370023,,,,,51.141659,71.393575,https://2gis.com/firm/70000001055040292
Lavarium,банный комплекс,SPA-процедуры; Бани и сауны; Массажист,"Бухар жырау улица, 25а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.5,517,87010705870,,,,,,,https://instagram.com/lavarium,,,https://wa.me/77010705870,,,,,51.099507,71.436334,https://2gis.com/firm/70000001094243631
ИЗБУШКА,комплекс саун,SPA-процедуры; Аренда коттеджей; Бани и сауны,"улица Жанкент, 83",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1635,87172540050,87017540050,,,,http://saunaizba.kz,,https://instagram.com/izbushka.astana,,,https://wa.me/77017540050,,,,,51.133835,71.488372,https://2gis.com/firm/70000001024157835
General Spa,,SPA-процедуры; Массажист,"Кабанбай батыр проспект, 5/1",со стороны Керуен Сити,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,64,87089232657,,,thaispageneral@gmail.com,,http://genkino.kz/spa?gad_source=1&gclid=CjwKCAiAzvC9BhADEiwAEhtlN1c0t2gcmauNiUSKaMYrsAXtt9TUrMDKdM9LR_CygjEtEMUNzNEEChoCXFQQAvD_BwE,,https://instagram.com/generalspa.astana,,,https://wa.me/77089232657,,,,,51.143884,71.417268,https://2gis.com/firm/70000001092092819
CLV,гостевой комплекс,SPA-процедуры; Бани и сауны; Банкетные залы; Караоке-залы,"улица Е 126, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,666,87009990505,87172280505,,clv9990505@mail.ru,,http://clv-astana.kz,,https://instagram.com/clv_astana,,,https://wa.me/77009990505,,,https://t.me/+77009990505,,51.146309,71.34692,https://2gis.com/firm/70000001050669665
DROVAPAR,,SPA-процедуры; Бани и сауны; Массажист,"улица Айнакол, 61",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,1319,87479336704,,,drovapar@gmail.com,,http://drovapar.kz,,https://instagram.com/drovapar,https://facebook.com/drovapar,,https://wa.me/77479336704,,,,,51.134965,71.506863,https://2gis.com/firm/70000001037589057
Dacha,гостевой дом,SPA-процедуры; Бани и сауны; Аренда коттеджей; Массажист,"улица Аккемер, 32/2",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,173,87473889421,,,dacha_astana7@mail.ru,,http://www.dacha-astana.kz,,https://instagram.com/dacha__astana,,,https://wa.me/77473889421,,,,,51.09387,71.494791,https://2gis.com/firm/70000001023564916
Bavaria,,SPA-процедуры; Бани и сауны; Аренда коттеджей; Массажист,"улица Балкантау, 147",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,122,87750325050,,,,,,,,,,https://wa.me/77750325050,,,,,51.131392,71.483722,https://2gis.com/firm/70000001033210307
Mira,,SPA-процедуры; Массажист,"проспект Богенбай батыра, 28",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,36,87712955452,,,ggadzieva539@gmail.com,,http://tiktok.com/@gulmira_astana0,,https://instagram.com/massazhist_mira,,,https://wa.me/77712955452,,,,,51.174547,71.404789,https://2gis.com/firm/70000001100540173
Reyka,банно-оздоровительный комплекс,SPA-процедуры; Бани и сауны; Массажист; Косметолог,"улица Илияс Омаров, 6/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.7,1436,87777215202,,,,,,,https://instagram.com/reyka.2021,https://facebook.com/101949651860238,,https://wa.me/77777215202,,,,,51.135755,71.371772,https://2gis.com/firm/70000001046594509
Royal Spa,салон,SPA-процедуры; Массажист,"улица Шокана Уалиханова, 7",А блок; 13 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,4.9,37,87476800126,,,,,,,https://instagram.com/royal_spa_massagee,,,https://wa.me/77476800126,,,,,51.164814,71.439986,https://2gis.com/firm/70000001020383769
Koricca SPA,,SPA-процедуры; Массажист; Косметолог; Бани и сауны,"проспект Богенбай батыра, 56а",12 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,5.0,341,87758574628,,,,,,,https://instagram.com/koricca_spa,,,https://wa.me/77758574628,,,,,51.177074,71.427134,https://2gis.com/firm/70000001081558191
Банный клуб,комплекс бань на дровах,SPA-процедуры; Бани и сауны; Массажист,"улица Ошакты, 8",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,153,87762429898,,,,,http://bunclub.bitrix24.site/order/,,https://instagram.com/bannyi.club,,,https://wa.me/77762429898,,,,,51.134305,71.488857,https://2gis.com/firm/70000001071812303
Люкс,общественная баня,SPA-процедуры; Бани и сауны; Тонизирующие салоны; Массажист,"улица Караменде би Шакаулы, 16",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00 (касса: пн-чт 11:00-21:00, пт-вс 10:00-23:00)",+05:00,4.7,3110,87085157778 (контакт-центр),,,,,,,https://instagram.com/lux_complex,,,https://wa.me/77079314132,,,,,51.173996,71.36986,https://2gis.com/firm/70000001036419074
Grand Prix,клуб здоровья и красоты,SPA-процедуры; Фитнес-клубы; Косметолог; Визажисты; Бани и сауны; Бассейны; Аквааэробика; Ногтевые студии; Парикмахерские,"улица Сарайшык, 1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.4,199,87172577333 (отдел бронирования ),87718777222 (отдел продаж),87071777222 (отдел продаж),marketing@grandprixclub.kz,,,,https://instagram.com/grandprixclub,,,https://wa.me/77071777222,,,,,51.136723,71.417676,https://2gis.com/firm/70000001024023081
Tayga,,SPA-процедуры; Бани и сауны; Массажист,"улица Ахмет Байтурсынулы, 18",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 16:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.6,268,87008889994 (SPA),87008889995 (баня),87783493537 (SPA),,,,,https://instagram.com/tayga.banya.spa,,,https://wa.me/77008889994,https://wa.me/77008889995,https://wa.me/77783493537,,,51.116976,71.513013,https://2gis.com/firm/70000001101275826
ХУТОРОК,банный комплекс,SPA-процедуры; Бани и сауны; Массажист; Аренда коттеджей,"переулок Ойтоган, 1",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1594,87172436303,87005436303,,,,,,https://instagram.com/hutorok.kz,,,https://wa.me/77005436303,,,,,51.14571,71.480258,https://2gis.com/firm/70000001028506457
Афродита,сауна,SPA-процедуры; Бани и сауны; Массажист,"улица Айганым, 14",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,66,87770875126,87027482491,,,,,,,,,https://wa.me/77770875126,https://wa.me/77027482491,,,,51.141113,71.4035,https://2gis.com/firm/70000001069410553
Comfort Hotel Astana,,SPA-процедуры; Гостиницы,"улица Космонавтов, 60",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,445,87476455785,87018071382 (отдел бронирования),87172244444,info@comforthotel.kz,sales@comforthotel.kz,http://www.comforthotel.kz,,https://instagram.com/comfort_hotel_astana,https://facebook.com/100082555434550,,https://wa.me/77018071382,,,,,51.146903,71.424943,https://2gis.com/firm/70000001018100833
888,банный комплекс,SPA-процедуры; Бани и сауны; Массажист; Косметолог; Эпиляция,"улица Жанайдар Жирентаев, 3",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,852,87757916888,87172579888,,,,http://www.banya888.kz,,https://instagram.com/banya_888,,,https://wa.me/77757916888,,,,,51.146797,71.475947,https://2gis.com/firm/70000001018084539
The Ritz-Carlton Astana,,SPA-процедуры; Гостиницы; Конференц-залы; Банкетные залы,"улица Достык, 16",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,308,87172734000,,,,,http://ritzcarlton.com/ru/hotels/kazakhstan/astana,,https://instagram.com/ritzcarlton_astana,https://facebook.com/ritzcarltonastana,,,,,,,51.124794,71.431297,https://2gis.com/firm/70000001025236955
Rixos President Astana,отель,SPA-процедуры; Гостиницы; Кейтеринг; Конференц-залы,"улица Динмухамед Конаев, 7",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,624,87172245050,,,,,http://rixos.com,http://presidentastana.rixos.com,https://instagram.com/rixospresidentastana,https://facebook.com/rixosastana,,,,,,,51.13427,71.421419,https://2gis.com/firm/70000001018072481
The Veil Taste & Relax​,,SPA-процедуры; Гостиницы,"улица Кадыргали Жалайыри, 4",3-5 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,319,87172797767,87010808608,,,,http://theveil.kz/,,https://instagram.com/the_veil_kz,,,https://wa.me/77010808608,,,,,51.14061,71.446126,https://2gis.com/firm/70000001047463171
