Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
SF,,Рестораны; Кафе; Быстрое питание; Пиццерии; Доставка еды,"улица Сыганак, 54",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,2644,87777888888 (служба доставки: круглосуточно),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,,,,,,,,,https://wa.me/77777888888,,,,,,,,,https://youtube.com/@sf-2077,,,,,,51.123062,71.421466,https://2gis.com/firm/70000001066561173
Узбечка №1,ресторан восточной и европейской кухни,Рестораны; Доставка еды,"улица Жумекен Нажимеденов, 26",1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,881,87750690688 (служба доставки),87786891188 (отдел бронирования и информации),,,,,http://www.uzbechka1.kz,,,https://instagram.com/uzbechka__1,,,,,,,,,,,,https://wa.me/77750690688,https://wa.me/77786891188,,,,,,,,,,,,,,51.115871,71.491991,https://2gis.com/firm/70000001098700843
Park Baku,ресторан,Рестораны,"проспект Абая, 27",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.9,283,87077007227,,,,,,,,,https://instagram.com/parkbaku.restaurant,,,,,,,,,,,,https://wa.me/77077007227,,,,,,,,,,,,,,,51.167749,71.417562,https://2gis.com/firm/70000001097591884
Asad,ресторан,Рестораны,"улица Алексея Петрова, 21/1",,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.8,23,87007150900,,,,,,http://taplink.cc/asad_hotel?fbclid=PAZnRzaAMcq9RleHRuA2FlbQIxMQABpzxXAi-aF3GE5jUuLzLERUJFRW0i3_jOlmQHiAGZigeIOfq85BeqkSqwbs8h_aem_LQkkIMJAQqQAdcXdOMVdEQ,,,https://instagram.com/asad.astana,,,,,,,,,,,,https://wa.me/77007150900,,,,,,,,,,,,,,,51.150568,71.473122,https://2gis.com/firm/70000001103345263
Bella Ciao,ресторан итальянской кухни,Рестораны; Доставка еды,"проспект Туран, 53в",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.2,328,87751108802,,,corp@tanukifamily.kz,,,http://tanukifamily.kz/bella_chiao,,,https://instagram.com/bella_ciao_restaurant,,,,,,,,,,,,https://wa.me/77751108802,,,,,,,,,,,,,,,51.116739,71.399512,https://2gis.com/firm/70000001100876739
MeATADOR,ресторан,Рестораны; Караоке-залы; Бары,"проспект Туран, 60",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-02:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-01:00,+05:00,4.8,777,87010326660 (ресторан ),87172516850 (ресторан),,,,,http://meatador.2gis.biz/,,,https://instagram.com/meatador_astana,,,,,,,,,,,,https://wa.me/77010326660,,,,,,,,,,,,,,,51.100816,71.396013,https://2gis.com/firm/70000001061545801
RANCH,ресторан,Рестораны; Бары; Доставка еды,"улица Жумекен Нажимеденов, 4",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-02:00,+05:00,4.8,178,87020543077,,,,,,,,,https://instagram.com/ranch_nazhimedenova,,,,,,,,,,,,https://wa.me/77020543077,,,,,,,,,,,,,,,51.120284,71.459007,https://2gis.com/firm/70000001077250557
Boom Boom Room,семейный ресторан,Рестораны,"проспект Мангилик Ел, 37",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.8,4396,87080581111,,,byroglaz@mail.ru,,,,,,https://instagram.com/boomboomroom_mangilik,,,,,,,,,,,,https://wa.me/77080581111,,,,,,,,,,,,,,,51.104142,71.42798,https://2gis.com/firm/70000001022914376
Ocean Basket,ресторан морепродуктов,Рестораны; Доставка еды,"улица Сарайшык, 7",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-22:30; пт-сб 10:00-23:30),+05:00,4.7,1595,87172285557,87761538980,,marketing@oceanbasket.kz,,,http://www.oceanbasket.kz,,,https://instagram.com/oceanbasket.kz,,,https://twitter.com/theoceanbasket,,,https://facebook.com/oceanbasket.kazakhstan,,,,,,https://wa.me/77010999911,,,,,,,,,,,,,,,51.13521,71.426245,https://2gis.com/firm/70000001024875195
Laliko,ресторан грузинской кухни,Рестораны,"улица Е 900, 4",НП: 9,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+05:00,4.7,106,87019958005,,,,,,,,,https://instagram.com/laliko_rest,,,,,,,,,,,,https://wa.me/77019958005,,,,,,,,,,,,,,,51.133193,71.394605,https://2gis.com/firm/70000001102949399
Gaststätte,ресторан баварской кухни,Рестораны; Бары,"проспект Женис, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:30-23:00; Вт: 12:30-23:00; Ср: 12:30-23:00; Чт: 12:30-23:00; Пт: 12:30-24:00; Сб: 12:30-24:00; Вс: 12:30-21:00,+05:00,4.9,237,87172995299,87015662626,87011977785,,,,,,,https://instagram.com/gaststatte_astana,,,,,,,,,,,,https://wa.me/77011977785,https://wa.me/77474442625,,,,,https://t.me/+77011977785,,,,,,,,,51.160675,71.415415,https://2gis.com/firm/70000001018067004
Syrovarnya,ресторан,Рестораны; Пиццерии; Доставка еды,"Кабанбай батыр проспект, 62",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,389,87788499922,,,,,,http://www.cheese-farm.com/astana_mega,,,https://instagram.com/syrovarnya.astana,,,,,,,,,,,,https://wa.me/77788499922,,,,,,,,,,,,,,,51.089365,71.408821,https://2gis.com/firm/70000001100242484
Aura Verdant,семейный ресторан,Рестораны; Доставка еды,"улица Арай, 29а",1 этаж,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.2,877,87024445333,87014443666 (служба доставки),,aurashubar@gmail.com,,,http://auraverdant.2gis.biz,,,https://instagram.com/aura.nursultan,,,,,,https://facebook.com/aura.nursultan,,,,,,https://wa.me/77024445333,,,,,,,,,,,,,,,51.138038,71.43427,https://2gis.com/firm/70000001041019753
The Wine Cafe,,Рестораны; Бары,"Кабанбай батыр проспект, 9/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.5,163,87776660515,,,,,,,,,https://instagram.com/winecafe_astana,,,,,,,,,,,,https://wa.me/77776660515,,,,,,,,,,,,,,,51.140231,71.417107,https://2gis.com/firm/70000001036545811
Lia,,Рестораны,"Кабанбай батыр проспект, 45/1",,,,Нура район,Астана,,Астана,Казахстан,,+05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.111725,71.408159,https://2gis.com/firm/70000001104950934
InstaCafe,семейный ресторан,Рестораны; Караоке-залы; Доставка еды,"улица Балкантау, 92",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (кухня: пн-вс 10:00-23:45),+05:00,4.8,299,87779484445,87713787476 (администратор),,beibaryselgon1512@gmail.com,,,,,,https://instagram.com/instacafe_astana,,,,,,,,,,,,https://wa.me/77779484445,https://wa.me/77713787476,,,,,https://t.me/+77779484445,https://t.me/+77713787476,,,,,,,,51.13174,71.4787,https://2gis.com/firm/70000001082507762
Sirne,ресторан,Рестораны; Кафе,"улица Ахмет Байтурсынулы, 18",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.5,101,87008889996,,,,,,,,,https://instagram.com/sirne_restaurant,,,,,,,,,,,,https://wa.me/77008889996,,,,,,,,,,,,,,,51.11664,71.512875,https://2gis.com/firm/70000001090273475
Daididau,ресторан казахской национальной и авторской кухни,Рестораны; Кейтеринг,"улица Динмухамед Конаев, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.8,546,87780007841,,,restaurant_daididau@mail.ru,,,http://daididau.kz,,,https://instagram.com/daididau.restaurant,,,,,,,,,,,,https://wa.me/77780007841,,,,,,https://t.me/+77780007841,,,,,,,,,51.128644,71.432858,https://2gis.com/firm/70000001074576850
Tanuki,,Рестораны; Суши-бары; Доставка еды,"проспект Туран, 39а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,1712,87010703930 (ресторан),,,corp@tanukifamily.kz,,,http://tanukifamily.kz,,,https://instagram.com/tanuki_kz,,,,,,,,,,,,https://wa.me/77010703930,,,,,,,,,,,,,,,51.12784,71.403901,https://2gis.com/firm/70000001093451570
Мясоед,ресторан,Рестораны; Доставка еды,"Кабанбай батыр проспект, 49",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+05:00,4.9,92,87007370050,,,,,,,,,https://instagram.com/myasoed_ast,,,,,,,,,,,,https://wa.me/77007370050,,,,,,,,,,,,,,,51.102302,71.405902,https://2gis.com/firm/70000001101957970
Shate,ресторан,Рестораны; Караоке-залы,"проспект Мангилик Ел, 35а",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 10:00-24:00,+05:00,4.9,210,87717777709,,,,,,,,,https://instagram.com/shate.astana,,,,,,,,,,,,https://wa.me/77717777709,,,,,,,,,,,,,,,51.106027,71.430052,https://2gis.com/firm/70000001088132171
Bao Sushi&Noodles Bar,ресторан,Рестораны; Доставка еды; Кондитерские изделия; Суши-бары,"проспект Туран, 22/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,855,87767706900,,,bao10astana@gmail.com,,,http://baofood.kz,,,https://instagram.com/bao_astana,,,,,,https://facebook.com/bao.noodles,,,,,,https://wa.me/77767706900,,,,,,,,,,,,,,,51.140602,71.41164,https://2gis.com/firm/70000001094695514
Saperavi,грузинский ресторан,Рестораны; Караоке-залы; Бары,"проспект Абая, 53",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.9,219,87767776353,,,,,,,,,https://instagram.com/saperavi_astana,,,,,,,,,,,,https://wa.me/77767776353,,,,,,,,,,,,,,,51.169748,71.435026,https://2gis.com/firm/70000001099181134
Грузин Кузин,,Рестораны; Караоке-залы; Доставка еды,"улица Шарль де Голль, 1а",1 этаж,,Ак-булак-2 ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,1783,87020077896,,,,,,,,,https://instagram.com/gruzin_kz,,,,,,,,,,,,https://wa.me/77020077896,,,,,,,,,,,,,,,51.141993,71.448481,https://2gis.com/firm/70000001064293858
Raki,ресто-бар,Рестораны; Бары; Караоке-залы,"улица Ахмет Байтурсынулы, 9 блок F2",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 11:00-24:00,+05:00,4.9,133,87001110747,,,dastenovaakmoldir@gmail.com,,,http://raki-astana.netlify.app,,,https://instagram.com/rakirestobar,,,,,,,,,,,,https://wa.me/77001110747,,,,,,,,,,,,,,,51.125507,71.46721,https://2gis.com/firm/70000001097837780
Ted,лаундж-бар,Рестораны; Бары,"проспект Улы Дала, 39",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-02:00,+05:00,4.9,181,87066289496,,,,,,,,,https://instagram.com/ted_loungebar,,,,,,,,,,,,https://wa.me/77788089496,,,,,,,,,,,,,,,51.098306,71.410504,https://2gis.com/firm/70000001061422201
Korean House,,Рестораны; Доставка еды; Суши-бары; Бары,"Кабанбай батыр проспект, 62",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.0,574,87712676702 (служба доставки: пн-вс 10:00-23:00),,,,,,http://korean-house.kz,http://taplink.cc/korean_house_astana,,https://instagram.com/korean_house_astana,,,,,,https://facebook.com/KH.Restaurants,,,,,,https://wa.me/77712676702,,,,,,,,,,,,,,,51.088511,71.409719,https://2gis.com/firm/70000001028284553
BV Lounge&Terrace,,Рестораны; Бары,"Кабанбай батыр проспект, 58Б корпус 4",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.8,156,87767477007,,,,,,,,,https://instagram.com/bv_lounge_terrace,,,,,,,,,,,,https://wa.me/77767477007,,,,,,,,,,,,,,,51.095663,71.408764,https://2gis.com/firm/70000001100585271
Happy,ресторан,Рестораны; Доставка еды,"улица Сарайшык, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.8,124,87750520173,87710465291 (администратор),,,,,http://happy-restaurant.dzumba.kz/,,,https://instagram.com/happy_qazaqstan,,,,,,,,,,,,https://wa.me/77750520173,,,,,,,,,,,,,,,51.13244,71.429719,https://2gis.com/firm/70000001102318285
Вечное Небо,,Рестораны; Бары,"улица Достык, 18",25 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.0,1372,87010642265,,,nebo.astana@mail.ru,,,http://vechnoenebo-dostyq.kz,,,https://instagram.com/vechnoe.nebo.astana,,,,,,,,,,,,https://wa.me/77010642265,,,,,,,,,,,,,,,51.124911,71.434528,https://2gis.com/firm/70000001022773916
Mian,ресторан китайской кухни,Рестораны; Кафе,"Кабанбай батыр проспект, 58Б корпус 5",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,69,87088888151,,,QQHK.MIAN@gmail.com,,,http://mian.kamiqr.com/menu/basic?utm_media=qr,,,https://instagram.com/mian_qqhk,,,,,,,,,,,,https://wa.me/77088888151,,,,,,,,,,,,,,,51.095046,71.409002,https://2gis.com/firm/70000001101960091
Aula,ресторан казахской национальной и восточной кухни,Рестораны,"улица Сарайшык, 8",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,435,87079085500,,,aulaastana@gmail.com,,,http://aulafamily.kz,,,https://instagram.com/aula_ast,,,,,,,,,,,,https://wa.me/77079085500,,,,,,,,,,,,,,,51.135106,71.421309,https://2gis.com/firm/70000001098702120
Aiala Hogo,кафе-ресторан,Рестораны; Доставка еды; Кафе,"улица Сагадат Нурмагамбетов, 23",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.8,350,87008100888,,,,,,,,,https://instagram.com/aiala_hogo_astana,,,,,,,,,,,,https://wa.me/77008100888,,,,,,,,,,,,,,,51.118091,71.483797,https://2gis.com/firm/70000001090370752
Incognita,,Рестораны; Караоке-залы; Бары,"Кабанбай батыр проспект, 17",,,,Нура район,Астана,,Астана,Казахстан,Пн: 20:00-05:00; Вт: 20:00-05:00; Ср: 20:00-05:00; Чт: 20:00-05:00; Пт: 20:00-06:00; Сб: 20:00-06:00; Вс: 20:00-05:00,+05:00,4.7,559,87017073121,,,,,,,,,https://instagram.com/incognita_karaoke,,,,,,,,,,,,https://wa.me/77017073121,,,,,,,,,,,,,,,51.133876,71.412915,https://2gis.com/firm/70000001029644848
Wine Street,ресторан,Рестораны; Бары,"улица Туркестан, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.8,202,87710558133,,,,,,,,,https://instagram.com/wine_street_astana,,,,,,,,,,,,https://wa.me/77710558133,,,,,,,,,,,,,,,51.104476,71.424702,https://2gis.com/firm/70000001053405771
