Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Svoy,игровой клуб,Клубы видеоигр,"Керей, Жанибек хандар улица, 30",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,5.0,37,87011393032,,,,,,https://instagram.com/svoy.ps5.astana,,https://wa.me/77011393032,,,,,51.111373,71.43757,https://2gis.com/firm/70000001104401043
Liga,игровой клуб,Клубы видеоигр,"улица Александр Бараев, 6",вход со двора,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.9,136,87075342174,,,,,,https://instagram.com/liga_ps_club,,https://wa.me/77075342174,,,,,51.156597,71.435935,https://2gis.com/firm/70000001082888773
Game Zone,игровой клуб,Клубы видеоигр; Компьютерные клубы,"проспект Женис, 67",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительному звонку),+05:00,4.4,376,87713567171,87716147171,,,,,https://instagram.com/gamezone.astana,,https://wa.me/77716147171,https://wa.me/77713567171,,,,51.185866,71.407687,https://2gis.com/firm/70000001038152879
HUSTLE,,Клубы видеоигр,"улица Култегин, 14",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-03:00,+05:00,4.9,115,87010934466,87055314761,,,,,https://instagram.com/hustleps5,,https://wa.me/77055314761,,,,,51.136597,71.375084,https://2gis.com/firm/70000001051214675
Qazaqpeek Cyber Club,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"улица Кенесары, 69",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,28,87066055465,,,,,,https://instagram.com/qazaqpeek_astana,,https://wa.me/77066055465,,,,,51.16839,71.447188,https://2gis.com/firm/70000001101281437
Eleven Cyber Zone,,Клубы видеоигр; Компьютерные клубы,"улица Каныш Сатпаев, 24",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,238,87717685067,,,,,,https://instagram.com/eleven.cyberzone,,https://wa.me/77717685067,,,,,51.137773,71.478858,https://2gis.com/firm/70000001061556358
Бильярд 46/10,,Клубы видеоигр; Бильярдные залы; Клубы настольного тенниса,"проспект Тауелсиздик, 46/10",2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.8,91,87713966286,,,,,,https://instagram.com/billiard_46_10,,https://wa.me/77713966286,,,,,51.13188,71.470806,https://2gis.com/firm/70000001089236072
Game club Dragao,клуб видеоигр,Клубы видеоигр,"проспект Сарыарка, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,22,87781717691,,,,,,https://instagram.com/dragao_game_club,,https://wa.me/77781717691,,,,,51.163778,71.408567,https://2gis.com/firm/70000001096757067
Фанат,игровой клуб,Клубы видеоигр,"улица Шокана Уалиханова, 12",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,618,87780293227,87172999934,,,http://70000001080789116.2gis.biz,,https://instagram.com/playstation.fanat,,https://wa.me/77780293227,,,,,51.168999,71.440792,https://2gis.com/firm/70000001020681641
Revansh,,Клубы видеоигр,"улица Жумекен Нажимеденов, 16Б",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.8,118,87473893720,87765477261 (служба поддержки клиентов),,,,,https://instagram.com/astana_revansh,,https://wa.me/77473893720,,,,,51.118043,71.477725,https://2gis.com/firm/70000001068068123
Team Play,,Клубы видеоигр; Компьютерные клубы,"улица Толе би, 16",1 этаж; НП: 16,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,120,87081446245,,,,,,https://instagram.com/teamplaykz,,https://wa.me/77081446245,,,,,51.100113,71.388767,https://2gis.com/firm/70000001094228127
Ast Game,клуб видеоигр,Клубы видеоигр,"улица Сауран, 12/1",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,4.7,80,87759325872,87759130359,,,,,https://instagram.com/ast_game.sauran,,https://wa.me/77759130359,,,,,51.118699,71.420995,https://2gis.com/firm/70000001071545434
The Hood,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"улица Кайым Мухамедханов, 4 блок А",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,50,87072307828,,,,,,https://instagram.com/thehood2_astana,,https://wa.me/77072307828,,,,,51.137511,71.400416,https://2gis.com/firm/70000001103198125
Qasqir Rooms,,Клубы видеоигр; Компьютерные клубы,"улица Кыз Жибек, 3а",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,26,87000887999,,,,http://taplink.cc/qasqir_rooms,,https://instagram.com/qasqir_rooms,,https://wa.me/77000887999,https://wa.me/77000886999,,,,51.140869,71.407462,https://2gis.com/firm/70000001098207477
Real Gamers,игровой клуб,Клубы видеоигр; Компьютерные клубы,"улица Илияс Омаров, 23",7 офис; 1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,418,87053065111,,,,,,https://instagram.com/realgamers.kz,,https://wa.me/77053065111,,,,,51.13957,71.36988,https://2gis.com/firm/70000001078898473
Corner,,Клубы видеоигр,"Керей, Жанибек хандар улица, 9",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-05:00; Вт: 13:00-05:00; Ср: 13:00-05:00; Чт: 13:00-05:00; Пт: 13:00-05:00; Сб: 13:00-05:00; Вс: 13:00-05:00,+05:00,4.8,104,87020513424,,,,,,https://instagram.com/corner_ps5,,https://wa.me/77020513424,,,,,51.116143,71.413963,https://2gis.com/firm/70000001076227162
Victory Cyber Arena,,Клубы видеоигр; Компьютерные клубы,"улица Сарайшык, 4",2 этаж; вход через супермаркет 7 дән,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,141,87087153039,,,,,,https://instagram.com/victory.cyber,,https://wa.me/77087153039,,,,,51.134911,71.418171,https://2gis.com/firm/70000001080271785
XAH.exe,,Клубы видеоигр; Компьютерные клубы,"улица Гейдара Алиева, 3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,54,87012233333,,,xancyberclub@gmail.com,,,https://instagram.com/xah.exe,,https://wa.me/77012233333,,,,,51.099366,71.411478,https://2gis.com/firm/70000001100814534
BRO,сеть компьютерных клубов,Клубы видеоигр; Компьютерные клубы,"улица Динмухамед Конаев, 14",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,290,87755037514,,,,http://brocyberclub.kz/,http://www.tiktok.com/@brocyberclub.kz,https://instagram.com/brocyberclub,,https://wa.me/77755037514,,,,,51.127957,71.437359,https://2gis.com/firm/70000001088183398
OINA,игровой клуб,Клубы видеоигр,"улица Сыганак, 39/1",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.7,123,87078632313,,,,http://oina-psclub.2gis.biz/,,https://instagram.com/oina_psclub,,https://wa.me/77078632313,,,,,51.124815,71.425584,https://2gis.com/firm/70000001068820829
P.S. XoXo,,Клубы видеоигр,"улица Санжара Асфендиярова, 8",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-04:00; Сб: 17:00-04:00; Вс: 17:00-03:00,+05:00,4.8,66,87761919333,87782999991,,jayd92@mail.ru,http://my.matterport.com/show/?m=GtvkGZr7meX,,https://instagram.com/p.s.xoxo_kz,,https://wa.me/77761919333,https://wa.me/77782999991,,,,51.134853,71.380361,https://2gis.com/firm/70000001089386706
Vamos!,игровой клуб,Клубы видеоигр,"Кабанбай батыр проспект, 29/1 блок А",1 офис; вывеска ozon,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-03:00; Вт: 11:00-03:00; Ср: 11:00-03:00; Чт: 11:00-03:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-03:00,+05:00,4.9,156,87080400015,,,,,,https://instagram.com/vamos.zone,,https://wa.me/77080400015,,,,,51.124844,71.409733,https://2gis.com/firm/70000001099022810
Chiro Bombardir,,Клубы видеоигр,"проспект Мангилик Ел, 54/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00 (до последнего гостя),+05:00,4.8,147,87713270756 (администрация),87779942104 (руководитель),,,,,https://instagram.com/chiro.ps.club,,https://wa.me/77713270756,,,,,51.089604,71.426445,https://2gis.com/firm/70000001080496791
MetaForce,,Клубы видеоигр; Центры виртуальной реальности; Клубы настольных игр,"улица Кайым Мухамедханов, 17",НП: 122,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,219,87055844444,,,metaforce_astana@mail.ru,http://metaforce.ru/astana,,https://instagram.com/metaforce.kz,,https://wa.me/77055844444,,,,,51.141633,71.38737,https://2gis.com/firm/70000001096907952
BRO,сеть компьютерных клубов,Клубы видеоигр; Компьютерные клубы,"улица Кажымукан, 8а",,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,669,87713455196,,,,http://brocyberclub.kz/,http://www.tiktok.com/@brocyberclub.kz,https://instagram.com/brocyberclub,,https://wa.me/77713455196,,,,https://t.me/bro_enu,51.152871,71.463925,https://2gis.com/firm/70000001077339859
Colizeum,киберспортивный клуб,Клубы видеоигр; Компьютерные клубы,"улица Куйши Дина, 20",5 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,1066,87058883066,,,,,,https://instagram.com/colizeum_astana_kyushidina,,https://wa.me/77058883066,,,,,51.147399,71.476202,https://2gis.com/firm/70000001076513683
BRO,сеть компьютерных клубов,Клубы видеоигр; Компьютерные клубы,"проспект Ракымжан Кошкарбаев, 27",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,454,87775777307 (отдел бронирования),,,,http://brocyberclub.kz/,http://www.tiktok.com/@brocyberclub.kz,https://instagram.com/brocyberclub,,https://wa.me/77775777307,,,,https://t.me/brosenator,51.127667,71.489696,https://2gis.com/firm/70000001069280469
BRO,сеть компьютерных клубов,Клубы видеоигр; Компьютерные клубы,"проспект Мангилик Ел, 53",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,448,87755037706,,,,http://brocyberclub.kz/,http://www.tiktok.com/@brocyberclub.kz,https://instagram.com/brocyberclub,,https://wa.me/77755037706,,,,https://t.me/broexpo,51.093142,71.424927,https://2gis.com/firm/70000001084029307
Strike Arena,,Клубы видеоигр; Компьютерные клубы,"Кабанбай батыр проспект, 56",около 1 подъезда,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,113,87000608559,,,strikearena.astana@gmail.com,http://strike-arena.kz,,https://instagram.com/strikearena_astana,,https://wa.me/77763608559,,,,https://t.me/strikearenaastana,51.101582,71.408554,https://2gis.com/firm/70000001097382279
Taktika,,Клубы видеоигр,"проспект Мангилик Ел, 52 блок B3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,151,87004330433 (служба бронирования),87077774253,,,http://taktikaps5.com,http://jivo.chat/uPqAI4O51e,https://instagram.com/taktika_ps5,https://vk.com/taktika_ps5,https://wa.me/77004330433,,,,https://t.me/taktika_ps5,51.093551,71.428008,https://2gis.com/firm/70000001069435772
BRO,сеть компьютерных клубов,Клубы видеоигр; Компьютерные клубы,"проспект Туран, 41/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,34,87083159638,,,,http://brocyberclub.kz/,http://www.tiktok.com/@brocyberclub.kz,https://instagram.com/brocyberclub,,,,,,,51.126633,71.401245,https://2gis.com/firm/70000001104523813
Aztec cyber temple,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"улица Алихан Бокейхан, 38",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,410,87782847256,,,,,,https://instagram.com/azteccybergame,,https://wa.me/77782847835,,,,,51.091052,71.427484,https://2gis.com/firm/70000001062448259
6.16,игровой клуб,Клубы видеоигр,"Аль-Фараби проспект, 11/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-03:00,+05:00,4.7,137,87473100616,,,,,,https://instagram.com/ps_6.16,,https://wa.me/77473100616,,,,,51.097193,71.449376,https://2gis.com/firm/70000001063366415
Mouse,игровой клуб,Клубы видеоигр,"улица Кажымукан, 16",,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,462,87778345223,,,,,,https://instagram.com/mouse_astana,,https://wa.me/77778345223,,,viber://chat/?number=77778345223,,51.154747,71.470458,https://2gis.com/firm/70000001030532345
The Loft,игровой клуб,Клубы видеоигр,"проспект Мангилик Ел, 19",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-03:00,+05:00,4.4,89,87475487070,87084254039,,,,,https://instagram.com/the_loft_astana,,https://wa.me/77084254039,,,,,51.114564,71.432796,https://2gis.com/firm/70000001032710189
