Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
KELBET BEAUTY,салон красоты,Ногтевые студии; Эпиляция; Парикмахерские; Косметолог; Массажист; Оформление бровей и ресниц; Обучение мастеров для салонов красоты; Перманентный макияж,"улица Култегин, 14",возле 1-го подъезда,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,70,87718750705,,,,,,http://zapis.kz/kelbetbeauty-,,,https://instagram.com/kelbetbeauty.salon,,,,,,https://facebook.com/kelbet,,,,,,https://wa.me/77718750705,,,,,,,,,,,,,,,51.135756,71.375751,https://2gis.com/firm/70000001100557917
Tomi,салон красоты,Ногтевые студии; Парикмахерские; Косметолог; Оформление бровей и ресниц; Визажисты; Массажист; Перманентный макияж,"улица Санжара Асфендиярова, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,253,87757002549,,,dmaisutova@mail.ru,,,,,,https://instagram.com/tomibeauty_studio,,,,,,,,,,,,https://wa.me/77757002549,,,,,,,,,,,,,,,51.133002,71.379846,https://2gis.com/firm/70000001066410755
Ногтевая студия Aхметовой,,Ногтевые студии,"Амангельды Иманова улица, 19",413Е кабинет; 4 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.9,281,87789655045,,,,,,,,,https://instagram.com/nail_studio_akhmetovoi,,,,,,,,,,,,https://wa.me/77789655045,,,,,,,,,,,,,,,51.164621,71.442577,https://2gis.com/firm/70000001037788788
Siara studio,,Ногтевые студии; Оформление бровей и ресниц; Визажисты; Косметолог; Эпиляция,"улица Сыганак, 54а",501/3 кабинет; 5 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,188,87025776881,,,,,,http://zapis.kz/siara,,,https://instagram.com/siara_studio_,,,,,,,,,,,,https://wa.me/77025776881,,,,,,,,,,,,,,,51.124297,71.417986,https://2gis.com/firm/70000001077427932
Saya Kukola,салон красоты,Ногтевые студии; Визажисты; Косметолог; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Массажист,"улица Достык, 8/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,206,87082555899,,,,,,http://n776558.alteg.io,,,https://instagram.com/sayakukola_ast,,,,,,,,,,,,https://wa.me/77082555899,,,,,,,,,,,,,,,51.126141,71.420367,https://2gis.com/firm/70000001067976514
Gulgul,салон красоты,Ногтевые студии; Парикмахерские; Эпиляция; Оформление бровей и ресниц; Визажисты,"проспект Туран, 50/5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,58,87472999498,,,,,,,,,https://instagram.com/gulgul_astana,,,,,,,,,,,,https://wa.me/77472999498,,,,,,,,,,,,,,,51.106061,71.401042,https://2gis.com/firm/70000001102880997
Гүлбаршын,студия красоты и здоровья,Ногтевые студии; Оформление бровей и ресниц; Эпиляция; Массажист; Альтернативная медицина,"проспект Богенбай батыра, 63",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (по предварительной записи),+05:00,4.9,42,87769290090,87772980587 (мастер маникюра),,,,,,,,https://instagram.com/lashbrow.zhaina,,,,,,,,,,,,https://wa.me/77769290090,,,,,,,,,,,,,,,51.178571,71.43234,https://2gis.com/firm/70000001101555202
Gulkhan_bee,салон красоты,Ногтевые студии; Парикмахерские; Массажист; Оформление бровей и ресниц; Эпиляция; Визажисты,"улица Алихан Бокейхан, 25",цокольный этаж; НП: 25,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,116,87473118057,87758406512,,kaka250979@mail.ru,,,http://Zapis.kz,,,https://instagram.com/gulkhan_bee,,,,,,,,,,,,https://wa.me/77473118057,https://wa.me/77758406512,,,,,,,,,,,,,,51.087291,71.429643,https://2gis.com/firm/70000001090590839
LAMAS BEAUTY,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция,"проспект Туран, 43/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,914,87760007828 (администратор),,,,,,http://70000001075277302.2gis.biz/,,,https://instagram.com/lamas_beauty_astana,,,,,,,,,,,,https://wa.me/77760007828,,,,,,,,,,,,,,,51.123284,71.401455,https://2gis.com/firm/70000001075277303
Ramina beauty,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Визажисты,"улица Е 509, 9",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,185,87012500562,,,ospanova_88@mail.ru,,,,,,https://instagram.com/ramina_beautysalon,,,,,,,,,,,,https://wa.me/77012500562,,,,,,,,,,,,,,,51.085112,71.467161,https://2gis.com/firm/70000001089562610
Aru M1,салон красоты,Ногтевые студии; Оформление бровей и ресниц; Массажист; Эпиляция,"улица Александр Бараев, 13",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.8,160,87717630784,,,0106aru.m1@gmail.com,,,http://dikidi.net/801793,,,https://instagram.com/salon_aru_m1_astana,,,,,,,,,,,,https://wa.me/77717630784,,,,,,,,,,,,,,,51.157762,71.435262,https://2gis.com/firm/70000001054304898
Anelle_beauty_ast,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Визажисты; Подолог,"улица Розы Баглановой, 6/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,282,87089017020,,,,,,http://n1025473.alteg.io,,,https://instagram.com/anelle_beauty_ast,,,,,,,,,,,,https://wa.me/77089017020,,,,,,,,,,,,,,,51.115754,71.393221,https://2gis.com/firm/70000001086786982
Сұлу береке,салон красоты,Ногтевые студии; Парикмахерские; Массажист; Обучение мастеров для салонов красоты; Обучение массажистов; Оформление бровей и ресниц; Визажисты; Косметолог; Эпиляция; Перманентный макияж,"улица Кажымукан, 22",,,5 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,210,87172247164,87783741550,,info@sulubereke.kz,,,http://sulubereke.kz,http://sulu-bereke.kz,,https://instagram.com/sulubereke,,,,,,,,,,,,https://wa.me/77783741550,,,,,,,,,https://youtube.com/channel/UCBNNmqoVtYtxWACXRNQwhXw,,,,,,51.155601,71.473838,https://2gis.com/firm/70000001041136818
Erkemay beauty,,Ногтевые студии; Визажисты; Оформление бровей и ресниц; Обучение мастеров для салонов красоты; Парикмахерские; Перманентный макияж,"улица Толе би, 44/2",НП: 3,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.7,149,87758910098,,,,,,,,,https://instagram.com/erkemay_beautystudio,,,,,,,,,,,,https://wa.me/77758910098,,,,,,,,,,,,,,,51.121994,71.395715,https://2gis.com/firm/70000001079802974
Академия Азизы Гулямовой,салон красоты,Ногтевые студии; Визажисты; Парикмахерские; Эпиляция; Оформление бровей и ресниц; Перманентный макияж; Обучение мастеров для салонов красоты,"улица Шолпан Иманбаевой, 8",ВП: 15,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.9,351,87787878784,,,,,,,,,https://instagram.com/gulyamova_academy,,,,,,,,,,,,https://wa.me/77787878784,,,,,,,,,,,,,,,51.163114,71.436358,https://2gis.com/firm/70000001081124905
Аделия,студия красоты,Ногтевые студии; Оформление бровей и ресниц; Услуги пирсинга,"улица Беимбет Майлин, 19",116 офис; 1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,5.0,45,87754085564,,,sshaginur86@gmail.com,,,,,,https://instagram.com/beauty_master_shaginur,,,,,,,,,,,,https://wa.me/77754085564,,,viber://chat/?number=77754085564,,,https://t.me/+77754085564,,,,,,,,,51.14574,71.476058,https://2gis.com/firm/70000001079114051
Sakura,студия красоты,Ногтевые студии; Косметолог; Студии загара; Парикмахерские; Профессиональная косметика; Обучение мастеров для салонов красоты; Визажисты; Оформление бровей и ресниц; Подолог; Эпиляция; Массажист; Перманентный макияж,"улица Шолпан Иманбаевой, 9",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (до последнего клиента: пн-вс),+05:00,4.7,635,87762200525,87005200525,,sakuraastana.kz@mail.ru,,,http://salonsakura.kz,http://sakuraastana.kz,http://zapis.kz/sakuraastana,https://instagram.com/sakuraastana.kz,,,,,,,,,,,,https://wa.me/77762200525,https://wa.me/77005200525,https://wa.me/77762220525,viber://chat/?number=77001829292,,,https://t.me/77001829292,,,https://youtube.com/channel/UC9HudqoRdvuxQ-IOWELkq4A,,,,,,51.165052,71.434321,https://2gis.com/firm/70000001018072665
Stilissimo,салон красоты,Ногтевые студии; Парикмахерские; Косметолог; Визажисты; Оформление бровей и ресниц; Эпиляция; Перманентный макияж,"Бухар жырау улица, 34/2",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,29,87780999373,,,stilissimo.ast@gmail.com,,,,,,https://instagram.com/stilissimo.beauty,,,,,,,,,,,,https://wa.me/77780999373,,,,,,,,,,,,,,,51.098099,71.433888,https://2gis.com/firm/70000001101276977
Rayanail_club,,Ногтевые студии,"улица Кенжебек Кумисбеков, 8",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (по предварительной записи),+05:00,4.9,80,87079367367,,,,,,,,,https://instagram.com/rayanail_club,,,,,,,,,,,,https://wa.me/77079367367,,,,,,,,,,,,,,,51.167331,71.399665,https://2gis.com/firm/70000001055434366
Aina,салон красоты,Ногтевые студии; Парикмахерские; Косметолог; Массажист; Визажисты; Эпиляция; Оформление бровей и ресниц,"улица Санжара Асфендиярова, 6",НП: 16,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,387,87072227922,,,ainasalon@inbox.ru,,,http://taplink.cc/ainasalon,,,https://instagram.com/ainasalon_ast,,,,,,,,,,,,https://wa.me/77072227922,,,,,,,,,,,,,,,51.133299,71.377608,https://2gis.com/firm/70000001069431861
yoko_studio_01,салон красоты,Ногтевые студии; Парикмахерские; Визажисты; Обучение мастеров для салонов красоты; Оформление бровей и ресниц; Эпиляция,"улица Санжара Асфендиярова, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,67,87750090487 (администрация),87019396888,,,,,,,,https://instagram.com/yoko.studio1,,,,,,,,,,,,https://wa.me/77750090487,https://wa.me/77019396888,,,,,,,,,,,,,,51.132315,71.376773,https://2gis.com/firm/70000001063463506
The best Beauty room,ногтевая студия,Ногтевые студии; Эпиляция,"Амангельды Иманова улица, 19",907С офис; 9 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи: пн-вс),+05:00,4.7,185,87051370852,,,,,,http://n1378819.alteg.io,,,https://instagram.com/thebest_beautyroom,,,,,,,,,,,,https://wa.me/77051370852,,,,,,,,,,,,,,,51.164603,71.441307,https://2gis.com/firm/70000001056696932
Beauty room M,студия красоты,Ногтевые студии; Эпиляция; Оформление бровей и ресниц; Перманентный макияж; Косметолог; Визажисты,"улица Сакена Сейфуллина, 4/1",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,91,87078561858,,,makhabbatg@mail.ru,,,,,,https://instagram.com/beauty_room_m___,,,,,,,,,,,,https://wa.me/77007394052,,,,,,,,,,,,,,,51.167424,71.401657,https://2gis.com/firm/70000001047364695
Oreon,,Ногтевые студии,"улица Динмухамед Конаев, 14Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,11,87715387145,,,,,,,,,https://instagram.com/oreon.n_,,,,,,,,,,,,https://wa.me/77715387145,,,,,,,,,,,,,,,51.129593,71.433506,https://2gis.com/firm/70000001103643246
Арайлым,салон красоты,Ногтевые студии; Парикмахерские,"улица Шаймерден Косшыгулулы, 8/1",НП: 6,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.6,39,87764444790,,,,,,,,,https://instagram.com/hairlove_club1,,,,,,,,,,,,https://wa.me/77764444790,,,,,,,,,,,,,,,51.169929,71.393727,https://2gis.com/firm/70000001080036983
Nazerke_nail_astana,,Ногтевые студии,"проспект Мангилик Ел, 49 блок А",внутри салона красоты Total,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,25,87057514798,,,,,,,,,https://instagram.com/nazerke_nail_astana,,,,,,,,,,,,https://wa.me/77057514798,,,,,,,,,,,,,,,51.096274,71.426383,https://2gis.com/firm/70000001102002585
